Date,Open,High,Low,Close,Adj Close,Volume
1962-01-02,0.000000,8.328744,8.272595,8.310028,1.074023,40740
1962-01-03,0.000000,8.403609,8.328744,8.403609,1.086118,83483
1962-01-04,0.000000,8.534623,8.422326,8.459758,1.093376,74801
1962-01-05,0.000000,8.534623,8.422326,8.441042,1.090957,42744
1962-01-08,0.000000,8.534623,8.347460,8.478474,1.095795,90830
1962-01-09,0.000000,8.515907,8.422326,8.459758,1.093376,62780
1962-01-10,0.000000,8.459758,8.272595,8.291312,1.071605,38736
1962-01-11,0.000000,8.310028,8.197730,8.291312,1.071605,46751
1962-01-12,0.000000,8.347460,8.197730,8.216447,1.061929,30054
1962-01-15,0.000000,8.216447,8.010567,8.066716,1.042578,36733
1962-01-16,0.000000,8.066716,7.954419,7.954419,1.028063,26047
1962-01-17,0.000000,7.973135,7.954419,7.973135,1.030482,39404
1962-01-18,0.000000,7.973135,7.954419,7.973135,1.030482,31390
1962-01-19,0.000000,8.010567,7.973135,7.973135,1.030482,38068
1962-01-22,0.000000,7.973135,7.879553,7.879553,1.018387,50758
1962-01-23,0.000000,7.898270,7.860837,7.879553,1.018387,43411
1962-01-24,0.000000,7.823405,7.729823,7.804688,1.008711,48754
1962-01-25,0.000000,7.823405,7.785972,7.785972,1.006293,41408
1962-01-26,0.000000,7.785972,7.711107,7.711107,0.996617,54765
1962-01-29,0.000000,7.767256,7.673674,7.729823,0.999036,32058
1962-01-30,0.000000,7.842121,7.748540,7.842121,1.013550,34729
1962-01-31,0.000000,7.973135,7.804688,7.954419,1.028063,60776
1962-02-01,0.000000,8.029284,7.879553,7.954419,1.028063,66119
1962-02-02,0.000000,8.010567,7.916986,7.973135,1.030482,36733
1962-02-05,0.000000,8.048000,7.954419,8.048000,1.040158,50090
1962-02-06,0.000000,8.029284,7.991851,8.029284,1.046500,38736
1962-02-07,0.000000,8.122865,7.991851,8.122865,1.058698,57437
1962-02-08,0.000000,8.160298,8.085433,8.122865,1.058698,71462
1962-02-09,0.000000,8.141581,8.104149,8.104149,1.056258,35397
1962-02-12,0.000000,8.122865,8.085433,8.104149,1.056258,20704
1962-02-13,0.000000,8.104149,8.048000,8.048000,1.048941,48086
1962-02-14,0.000000,8.048000,7.879553,7.879553,1.026985,40072
1962-02-15,0.000000,7.954419,7.804688,7.898270,1.029425,54765
1962-02-16,0.000000,7.935702,7.823405,7.842121,1.022107,94169
1962-02-19,0.000000,8.010567,7.860837,7.879553,1.026985,66787
1962-02-20,0.000000,7.860837,7.804688,7.842121,1.022107,57437
1962-02-21,0.000000,7.785972,7.673674,7.692391,1.002591,83483
1962-02-23,0.000000,7.711107,7.523944,7.561377,0.985516,106859
1962-02-26,0.000000,7.598809,7.392930,7.430363,0.968440,112870
1962-02-27,0.000000,7.636242,7.430363,7.561377,0.985516,96173
1962-02-28,0.000000,7.729823,7.598809,7.729823,1.007471,103520
1962-03-01,0.000000,7.767256,7.654958,7.711107,1.005031,96841
1962-03-02,0.000000,7.729823,7.673674,7.673674,1.000152,68123
1962-03-05,0.000000,7.711107,7.561377,7.598809,0.990394,80812
1962-03-06,0.000000,7.598809,7.449079,7.486512,0.975758,84151
1962-03-07,0.000000,7.486512,7.336781,7.374214,0.961121,100848
1962-03-08,0.000000,7.561377,7.336781,7.505228,0.978198,49422
1962-03-09,0.000000,7.598809,7.505228,7.542660,0.983077,60776
1962-03-12,0.000000,7.542660,7.411647,7.411647,0.966001,68790
1962-03-13,0.000000,7.561377,7.411647,7.505228,0.978198,72130
1962-03-14,0.000000,7.561377,7.299349,7.523944,0.980637,116209
1962-03-15,0.000000,7.505228,7.430363,7.467795,0.973320,94169
1962-03-16,0.000000,7.523944,7.449079,7.467795,0.973320,74133
1962-03-19,0.000000,7.467795,7.374214,7.467795,0.973320,60776
1962-03-20,0.000000,7.467795,7.430363,7.467795,0.973320,33393
1962-03-21,0.000000,7.449079,7.355498,7.374214,0.961121,79476
1962-03-22,0.000000,7.392930,7.299349,7.299349,0.951364,70126
1962-03-23,0.000000,7.355498,7.243200,7.243200,0.944046,126895
1962-03-26,0.000000,7.299349,7.187051,7.187051,0.936727,55433
1962-03-27,0.000000,7.224484,7.093470,7.093470,0.924531,80812
1962-03-28,0.000000,7.093470,6.925023,7.093470,0.924531,106191
1962-03-29,0.000000,7.149619,6.943740,7.018605,0.914773,170306
1962-03-30,0.000000,7.018605,6.925023,6.999888,0.912334,56101
1962-04-02,0.000000,6.943740,6.812726,6.887591,0.897697,122220
1962-04-03,0.000000,6.925023,6.850158,6.850158,0.892819,94169
1962-04-04,0.000000,6.925023,6.812726,6.812726,0.887941,58772
1962-04-05,0.000000,6.962456,6.794009,6.943740,0.905016,89494
